episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,0.5,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,0.5,68,
3,768,-2.6,0.0,16.67,2,0.0,0.5,0.5,78,
4,768,-3.1,0.0,25.0,3,0.0,0.6667,0.5,78,
5,896,-2.3,0.0,7.14,1,0.0,0.0,0.5,93,
6,896,-2.8,0.0,14.29,2,0.0,0.5,0.5,93,
7,960,-2.4,0.0,6.67,1,0.0,0.0,0.5,99,
8,960,-3.9,0.0,26.67,4,0.0,0.75,0.5,99,
9,960,10.0,1.0,6.67,1,0.0,1.0,0.5,99,
10,1152,-2.7,0.0,5.56,1,0.0,0.0,0.5,125,
11,1152,-3.2,0.0,11.11,2,0.0,0.5,0.5,125,
12,1152,8.2,1.0,22.22,4,0.25,1.0,0.5,125,
13,1280,-4.9,0.0,25.0,5,0.2,0.8,0.5,135,
14,1344,-3.5,0.0,9.52,2,0.5,0.5,0.5,140,
15,1408,-3.6,0.0,9.09,2,0.0,0.5,0.5,147,
16,1536,-3.3,0.0,4.17,1,0.0,0.0,0.5,161,
17,1536,-2.5,0.0,16.67,2,0.0,0.5,0.5,161,
18,1664,-4.5,0.0,11.54,3,0.3333,0.6667,0.5,168,
19,1664,-2.1,0.0,25.0,2,0.0,0.5,0.5,168,
20,1728,-4.1,0.0,7.41,2,0.0,0.5,0.5,177,
21,1728,-3.1,0.0,7.41,2,0.0,0.5,0.5,177,
22,1856,-4.3,0.0,13.79,4,0.0,0.75,0.5,193,
23,1856,-4.3,0.0,6.9,2,0.0,0.5,0.5,193,
24,1984,-5.0,0.0,9.68,3,0.0,0.6667,0.5,208,
25,2048,6.3,1.0,15.62,5,0.0,1.0,0.5,210,
26,2112,7.7,1.0,6.06,2,0.0,1.0,0.5,214,
27,2112,-4.7,0.0,6.06,2,0.0,0.5,0.5,214,
28,2240,-2.7,0.0,14.29,2,0.0,0.5,0.5,229,
